id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti30.csv,2020/06/13 03:46:00,fuzzy-cmeans,random,4,2,biggest-diff,0.1945180892944336,92.42527484893799,24
TEST01,data/affitti30.csv,2020/06/13 03:48:51,kmeans,random,5,-,biggest-diff,0.16754746437072754,170.68621802330017,50*
TEST01,data/affitti30.csv,2020/06/13 03:52:23,fuzzy-cmeans,random,5,1.5,biggest-diff,0.16754746437072754,212.1257631778717,50*
TEST01,data/affitti30.csv,2020/06/13 03:53:27,fuzzy-cmeans,random,5,3,biggest-diff,0.16754746437072754,63.85410714149475,15
TEST01,data/affitti30.csv,2020/06/13 03:55:31,fuzzy-cmeans,random,5,2,biggest-diff,0.16754746437072754,123.65852880477905,29
TEST01,data/affitti70.csv,2020/06/13 03:58:27,kmeans,random,3,-,biggest-diff,0.44054627418518066,175.29975986480713,44
TEST01,data/affitti70.csv,2020/06/13 04:02:29,fuzzy-cmeans,random,3,1.5,biggest-diff,0.44054627418518066,242.5287275314331,40
TEST01,data/affitti70.csv,2020/06/13 04:03:42,fuzzy-cmeans,random,3,3,biggest-diff,0.44054627418518066,73.0983374118805,12
TEST01,data/affitti70.csv,2020/06/13 04:05:49,fuzzy-cmeans,random,3,2,biggest-diff,0.44054627418518066,126.45516419410706,21
TEST01,data/affitti70.csv,2020/06/13 04:09:12,kmeans,random,4,-,biggest-diff,0.4969775676727295,203.3752257823944,50*
TEST01,data/affitti70.csv,2020/06/13 04:15:01,fuzzy-cmeans,random,4,1.5,biggest-diff,0.4969775676727295,348.5500099658966,50*
TEST01,data/affitti70.csv,2020/06/13 04:16:32,fuzzy-cmeans,random,4,3,biggest-diff,0.4969775676727295,91.46257829666138,13
TEST01,data/affitti70.csv,2020/06/13 04:19:21,fuzzy-cmeans,random,4,2,biggest-diff,0.4969775676727295,168.27296710014343,24
TEST01,data/affitti70.csv,2020/06/13 04:22:49,kmeans,random,5,-,biggest-diff,0.5087840557098389,207.75285720825195,50*
TEST01,data/affitti70.csv,2020/06/13 04:29:29,fuzzy-cmeans,random,5,1.5,biggest-diff,0.5087840557098389,400.32306385040283,50*
TEST01,data/affitti70.csv,2020/06/13 04:31:30,fuzzy-cmeans,random,5,3,biggest-diff,0.5087840557098389,120.47867250442505,15
TEST01,data/affitti70.csv,2020/06/13 04:35:14,fuzzy-cmeans,random,5,2,biggest-diff,0.5087840557098389,224.16453504562378,28
TEST01,data/affitti115.csv,2020/06/13 04:36:46,kmeans,random,3,-,biggest-diff,0.7150368690490723,91.59431147575378,19
TEST01,data/affitti115.csv,2020/06/13 04:44:15,fuzzy-cmeans,random,3,1.5,biggest-diff,0.7150368690490723,448.8035840988159,50*
TEST01,data/affitti115.csv,2020/06/13 04:46:22,fuzzy-cmeans,random,3,3,biggest-diff,0.7150368690490723,126.54280376434326,14
TEST01,data/affitti115.csv,2020/06/13 04:49:48,fuzzy-cmeans,random,3,2,biggest-diff,0.7150368690490723,205.83450055122375,23
TEST01,data/affitti115.csv,2020/06/13 04:53:56,kmeans,random,4,-,biggest-diff,0.47170329093933105,247.62272429466248,50*
TEST01,data/affitti115.csv,2020/06/13 05:03:11,fuzzy-cmeans,random,4,1.5,biggest-diff,0.47170329093933105,555.3959424495697,50*
TEST01,data/affitti115.csv,2020/06/13 05:05:31,fuzzy-cmeans,random,4,3,biggest-diff,0.47170329093933105,140.34008693695068,13
TEST01,data/affitti115.csv,2020/06/13 05:10:01,fuzzy-cmeans,random,4,2,biggest-diff,0.47170329093933105,269.95268416404724,24
TEST01,data/affitti115.csv,2020/06/13 05:14:18,kmeans,random,5,-,biggest-diff,0.7118749618530273,256.15645837783813,50*
TEST01,data/affitti115.csv,2020/06/13 05:24:38,fuzzy-cmeans,random,5,1.5,biggest-diff,0.7118749618530273,620.0392715930939,50*
TEST01,data/affitti115.csv,2020/06/13 05:27:38,fuzzy-cmeans,random,5,3,biggest-diff,0.7118749618530273,180.14007019996643,14
TEST01,data/affitti115.csv,2020/06/13 05:32:54,fuzzy-cmeans,random,5,2,biggest-diff,0.7118749618530273,315.52283811569214,25
TEST01,data/affitti15.csv,2020/06/13 05:34:30,kmeans,random,3,-,biggest-diff,0.10235905647277832,95.95248651504517,32
